architecture_layers,condition,seed,ood_accuracy_mean,measured_layer,scope,component,head,family,diagram_count,vertices_per_diagram,edges_per_diagram,loops_per_diagram,path_pairs_per_diagram,mean_loop_length,semantic_accuracy,prediction_consistency,identity_error,transport_error,holonomy_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,edge_cka,activation_variance
2,higher_diversity,0,0.664,2,cls,query,all,exact1_hexagon,96,6,6,1,0,6.0,nan,nan,0.8282377324334826,0.88544264235131,1.0200747839291406,0.03903188928961754,0.9810428023338318,1.8692676935113894,0.9890671851881417,0.21300090017392162,nan,nan,0.3902517557144165,0.22949917614459991
2,higher_diversity,0,0.664,2,cls,query,all,ite_expansion,96,2,2,1,0,2.0,nan,nan,1.7905480769714779,0.9110421044929772,0.7016371307050654,0.009608322754502296,0.6920287609100342,1.7845606521926916,0.8767332658950286,0.40580612184288195,nan,nan,0.48277491331100464,0.7065189480781555
2,higher_diversity,0,0.664,2,cls,query,all,majority_duality,96,2,2,1,0,2.0,nan,nan,3.0826019653419334,0.34538194397186067,0.0584003925443194,0.004572019912302494,0.05382837355136871,1.5598713135896853,0.7558004384171593,0.10074995248383327,nan,nan,0.8856310844421387,0.5797153115272522
2,higher_diversity,0,0.664,2,cls,query,all,nary_and_hexagon,96,6,6,1,0,6.0,nan,nan,0.7654683519848128,0.8154258320402022,0.9273137855830045,0.06804386526346207,0.8592698574066162,1.8581306766242454,0.8643319538804406,0.19940263239005843,nan,nan,0.4836997091770172,0.5994070172309875
2,higher_diversity,0,0.664,2,token_mean,query,all,associativity_pentagon,96,5,8,1,1,5.0,nan,nan,0.06023482209859583,0.06814385527649335,0.09058421234095233,0.004479354713112116,0.0861048549413681,1.204805295842853,0.08716047881798308,0.3232036708003416,0.014750260103225285,0.1529056599191491,0.9598131775856018,0.019084293395280838
2,higher_diversity,0,0.664,2,token_mean,query,all,commutativity_cube,96,8,24,6,5,4.0,nan,nan,0.052340203810034264,0.06006793028358629,0.05999065888775198,0.001178828300908208,0.05881183221936226,1.0661206985568272,0.05778936058005547,0.2841952130708257,0.005829073491586127,0.17211694090808022,0.9698175191879272,0.012633907608687878
2,higher_diversity,0,0.664,2,token_mean,query,all,commutativity_involution,96,2,2,1,0,2.0,nan,nan,0.14600557646178877,0.1594265696936753,0.07451082210125179,0.0046499245800077915,0.06986089795827866,1.3438368528807716,0.07004574324722054,0.25142846584227946,nan,nan,0.9230692386627197,0.03438134491443634
2,higher_diversity,0,0.664,2,token_mean,query,all,demorgan_and_square,96,4,4,1,0,4.0,nan,nan,0.21964517571470266,0.1366134285635748,0.09471817185676981,0.0034772707149386406,0.09124090522527695,1.485374388879375,0.10333872078872255,0.18735784852914553,nan,nan,0.8860260844230652,0.0325891375541687
2,higher_diversity,0,0.664,2,token_mean,query,all,demorgan_or_square,96,4,4,1,0,4.0,nan,nan,0.20561599160929975,0.12286899391600392,0.09751158833467648,0.007237246725708246,0.09027434140443802,1.4629827968057139,0.10415688415716774,0.20807914320239496,nan,nan,0.8810840249061584,0.032880451530218124
2,higher_diversity,0,0.664,2,token_mean,query,all,distributivity_diamond,96,4,5,2,1,3.0,nan,nan,0.2506375393651006,0.2093653409538556,0.11042546250302146,0.005103143397718668,0.10532230883836746,1.517361800872645,0.1079909400031536,0.17979566451955323,0.1489581106605876,0.2672960174651254,0.846270740032196,0.025600215420126915
2,higher_diversity,0,0.664,2,token_mean,query,all,double_negation,96,2,2,1,0,2.0,nan,nan,0.7903832408951419,0.22825068519270153,0.05785863723186067,0.001574416528455913,0.05628421902656555,1.1516686854936231,0.0634020306402872,0.1384911587432501,nan,nan,0.5772491693496704,0.04601845145225525
2,higher_diversity,0,0.664,2,token_mean,query,all,exact1_hexagon,96,6,6,1,0,6.0,nan,nan,0.10521431613801022,0.1237146961648499,0.2192730975629848,0.024756653234362602,0.19451645016670227,1.5900977941389411,0.19534574715877176,0.3039895700411202,nan,nan,0.9361169934272766,0.027406005188822746
2,higher_diversity,0,0.664,2,token_mean,query,all,ite_expansion,96,2,2,1,0,2.0,nan,nan,0.756219584439287,0.2732288271288078,0.11592580746244635,0.005985229276120663,0.10994056612253189,1.4495487879870996,0.12233959334859794,0.22282995046836418,nan,nan,0.6861234307289124,0.02965802513062954
2,higher_diversity,0,0.664,2,token_mean,query,all,majority_duality,96,2,2,1,0,2.0,nan,nan,0.33246345376848785,0.15373750254739876,0.05544303718804715,0.0016706095775589347,0.05377242714166641,1.1318436439143795,0.05705509480994943,0.19890355805291146,nan,nan,0.8329653143882751,0.021999066695570946
2,higher_diversity,0,0.664,2,token_mean,query,all,nary_and_hexagon,96,6,6,1,0,6.0,nan,nan,0.12400198652055702,0.1432716487524515,0.215763137815522,0.009332718327641487,0.20643043518066406,1.6387590087786206,0.20673225138986845,0.24873101958591962,nan,nan,0.9224352240562439,0.02519676648080349
2,higher_diversity,0,0.664,2,cls,key,all,associativity_pentagon,96,5,8,1,1,5.0,nan,nan,0.49737125821622136,0.5106830478028405,0.40280130595077657,0.07269418239593506,0.3301071226596832,1.5536592599369714,0.3429699036755697,0.27365181046149606,0.13229752202925327,1.1394466879024303,0.5398074388504028,0.3912896513938904
2,higher_diversity,0,0.664,2,cls,key,all,commutativity_cube,96,8,24,6,5,4.0,nan,nan,0.47630176932163654,0.5110424126141988,0.344619926963612,0.020609084516763687,0.32401084899902344,1.3925928829343082,0.31790611311778777,0.24141978916670967,0.044564458927541614,1.4259127612870424,0.6208640933036804,0.3479360342025757
2,higher_diversity,0,0.664,2,cls,key,all,commutativity_involution,96,2,2,1,0,2.0,nan,nan,1.203511682724621,1.2502865883721588,0.6184451024631712,0.027777431532740593,0.590667724609375,1.7096717520495728,0.5923096249135377,0.27864755956070103,nan,nan,0.23691751062870026,0.4328342378139496
2,higher_diversity,0,0.664,2,cls,key,all,demorgan_and_square,96,4,4,1,0,4.0,nan,nan,1.5272766905188593,0.41515312282281785,0.2423177713421855,0.009070971980690956,0.2332467883825302,1.8566075885993278,1.1699677789051453,0.16080529221770998,nan,nan,0.05726097896695137,0.2962014973163605
