architecture_layers,condition,measured_layer,scope,component,head,models,identity_error_mean,identity_error_std,transport_error_mean,transport_error_std,holonomy_error_mean,holonomy_error_std,holonomy_rotation_error_mean,holonomy_rotation_error_std,holonomy_linear_action_error_mean,holonomy_linear_action_error_std,holonomy_systematic_error_mean,holonomy_systematic_error_std,holonomy_dispersion_error_mean,holonomy_dispersion_error_std,holonomy_edge_accumulation_ratio_mean,holonomy_edge_accumulation_ratio_std,path_agreement_error_mean,path_agreement_error_std,path_endpoint_error_mean,path_endpoint_error_std,activation_variance_mean,activation_variance_std,edge_improvement_over_identity_mean,edge_improvement_over_identity_std,supported_models
4,higher_diversity,3,token_mean,value,all,3,0.2503927724101362,0.023347013338993416,0.14591098659750562,0.023066538678368043,0.09136250051588646,0.023022998578122563,1.434623218019297,0.016284184157379932,0.09085653852457075,0.02334786708050146,0.00521635055316217,0.0013478210222121834,0.08614615136475273,0.021679225813083694,0.2216173528550064,0.017514275597196715,0.045901763619943324,0.01130746794498592,0.16464413135713854,0.029183661404448405,0.05198381937137156,0.013605398345723307,0.4194418959768398,0.03775900939559346,3
4,higher_diversity,4,cls,key,all,3,1.170011188977177,0.03643287442046577,0.9267153867397718,0.007586135313271606,0.8067828227244481,0.017198225357314908,1.7340375448328966,0.005569243554247247,0.8461274352358427,0.044609622970391914,0.07365315703844481,0.036887188392153374,0.7331296684163989,0.041675302450488935,0.28621758222786226,0.0072401141406497746,0.40255922979373854,0.0322134540205615,1.0793504804517937,0.05213906058565875,0.46368207443844184,0.01824389533781123,0.2075067969769632,0.021582740658788922,3
4,higher_diversity,4,cls,query,all,3,1.1362845871210958,0.041236372550687045,0.8108019995493513,0.025148051635239026,0.694808165696393,0.02819030337668441,1.734366391864963,0.0137477020849994,0.7446246336307244,0.040267375167882466,0.08178286330605096,0.06106512437358762,0.6130253094615359,0.03374196228630178,0.27632212216268,0.006368496232595806,0.32220522851208894,0.027022948664106795,0.9596192143748116,0.0418408461873516,0.6848618180462808,0.03159835392733174,0.28588528896147475,0.031481138260544786,3
4,higher_diversity,4,cls,value,all,3,1.183868986678035,0.06978513910285605,0.9652214460913561,0.045072350605579285,0.7469016825611797,0.0195968709252823,1.735048862960099,0.007852711855272225,0.7689743535853122,0.02706893387999328,0.07191702023600087,0.04237957820954695,0.6749846555969933,0.022793964254191657,0.2689546084796408,0.0037352961242498777,0.3611074248610578,0.04183208995876471,1.1072351627899042,0.07391806824012298,0.4490194889632138,0.033886169896229466,0.18362223200400682,0.04070174060834739,3
4,higher_diversity,4,token_mean,key,all,3,0.3129031231465749,0.002162208382304602,0.18121343007941604,0.0207588565041978,0.10254036532037819,0.009411285355391617,1.4708199781497804,0.017902402051175402,0.10191778643315651,0.009275357089229289,0.006562913570440177,0.0014142777276204995,0.09597745210383878,0.008438745066120665,0.20362154821002798,0.005657402936150473,0.04780975425599557,0.004741190999021104,0.18389504975863535,0.020350784465409385,0.0801556570963426,0.00265577103150452,0.420582354605955,0.06990190212899124,3
4,higher_diversity,4,token_mean,query,all,3,0.314360636038767,0.030352702910384378,0.16578759000090926,0.023676430124410335,0.08280666949028079,0.01384058123146001,1.4719462791263485,0.024254290944615838,0.08187545200465045,0.01439974081188,0.006237260884407795,0.002124228419504507,0.07656940908143013,0.012113507232988437,0.18331727685571356,0.0013509069109245953,0.03720274498462985,0.004588896541171261,0.16540755968557655,0.024689884243052393,0.10885156386277893,0.01159316879520537,0.472655918517012,0.05176071858178933,3
4,higher_diversity,4,token_mean,value,all,3,0.34101666706231853,0.03254891612278437,0.20453770608728017,0.030424295381009044,0.12076856884831123,0.028452218077420353,1.4672842555941148,0.023985900150513433,0.12028679745584851,0.030639279133862017,0.007236535297565613,0.001410774916673911,0.11353203157583873,0.027517832212366783,0.2070414518244262,0.01634971320063809,0.055294011320069995,0.010027333799872735,0.20873938668010902,0.02653829296602799,0.05941186072022626,0.008703345405706223,0.3973739050741773,0.09450672720721251,3
4,low_diversity,1,cls,key,all,3,0.0,0.0,0.0,0.0,0.0,0.0,1.9102185756628514,0.00626329671546899,1.1703094170004658,0.04290138978920385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.503906214374599e-12,6.155762732325852e-13,nan,0.0,0
4,low_diversity,1,cls,query,all,3,0.0,0.0,0.0,0.0,0.0,0.0,1.9135639790874084,0.023341810581908113,1.1955105485278537,0.03985452395208833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1608329985388835e-11,1.856627550788898e-12,nan,0.0,0
4,low_diversity,1,cls,value,all,3,0.0,0.0,0.0,0.0,0.0,0.0,1.9277322177013254,0.02225858602354225,1.1991428894324196,0.048808364735804854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.161802962041051e-12,8.6654437195105e-13,nan,0.0,0
4,low_diversity,1,token_mean,key,all,3,0.1732934493302937,0.0022141184135684787,0.044792296296812924,0.000920466179166832,0.019170423568262193,0.0005588917658211903,1.2761222502267684,0.01439317140290428,0.019453627566709653,0.0005546748615322953,0.0008421898484371151,3.574239297224459e-05,0.018328233459738618,0.0005771547674577416,0.19603930188497534,0.00564402715652315,0.025650372337163246,0.0011557670784370629,0.07435500229547722,0.002756237438125656,0.010942810172723099,0.00016351272878887573,0.7415247756742825,0.004022754795628784,3
4,low_diversity,1,token_mean,query,all,3,0.19882861214790373,0.014264157034087196,0.04476392293105092,0.0020712904482820173,0.01914150341923537,0.0011448538834536069,1.2716879576428217,0.006587023449299955,0.019585352248630103,0.001210210235911772,0.0008314136915335742,3.601336239126591e-05,0.018310089440395434,0.001109432885658895,0.1926514931310103,0.002509952545579881,0.02540636015522944,0.0010388968093866192,0.07436496325976627,0.0023476423070712604,0.010524959416326246,0.00010065877149397574,0.7744223724787588,0.012298337084678755,3
4,low_diversity,1,token_mean,value,all,3,0.17456697211524705,0.007966935965857153,0.044174810166011956,0.0008601527168816163,0.018957229597516338,0.0005404435937035842,1.2736178509733362,0.006647990611976381,0.01916465408635322,0.0006399887374534245,0.0007985806014127747,3.343473527547483e-05,0.01815864884040572,0.0005103998682565657,0.1925110580768691,0.00704199600511657,0.025024025708347913,0.0010705450370058784,0.07342548336641819,0.0012533107359551498,0.010493265874119419,0.0002636940300691466,0.7467339236840865,0.00723645848971984,3
4,low_diversity,2,cls,key,all,3,0.9605035037432971,0.20752890898778278,0.6722380455576936,0.1633554192888215,0.595803915235666,0.19373954805243052,1.5977004469223592,0.03613924486371109,0.6630002003271677,0.23092817496719484,0.025943887419998646,0.0062884095536753495,0.5698600275949999,0.18797527719210344,0.2863411905449117,0.02562823826728654,0.3149923717685765,0.09652209357699944,0.9197056617377575,0.20215981298216165,0.008775628051918113,0.003450265402816365,0.30274344200349246,0.03927562162994149,3
4,low_diversity,2,cls,query,all,3,0.9363338712836545,0.2119968617076281,0.6431771472452815,0.1676492367770305,0.5568459953370954,0.177518912143707,1.6006474212209643,0.024544153619640897,0.6268232666226599,0.2225842287156606,0.023979814158696117,0.005638446957939319,0.5328661785884338,0.17201394229474373,0.28236650339528985,0.022871434155772467,0.29292649319597697,0.08533481286588447,0.8728582820341,0.19615822456786938,0.0095094752243974,0.0038892717775832956,0.3166152577688464,0.047801550637479075,3
4,low_diversity,2,cls,value,all,3,0.9508485917447776,0.19193921542623393,0.6810577991643437,0.16641478822135758,0.6174437422894026,0.1887083521504287,1.6030583202034776,0.03316103334444428,0.677906444519823,0.22278898562308677,0.02902098254046657,0.00784096711415947,0.5884227653344473,0.1815147018690431,0.29039517206038745,0.019495931035150682,0.32603659267876967,0.09631552720345474,0.9218979089946086,0.188101187402833,0.008629235827053586,0.003571382665644468,0.28800724162084934,0.0444435221372171,3
4,low_diversity,2,token_mean,key,all,3,0.1872718066957126,0.00394311970049362,0.055398471033390434,0.0011632524487074094,0.03205617161401324,0.001625133952160031,1.2575610292682267,0.015928917137069565,0.03241421815431675,0.00156243168961737,0.0013239362755980849,6.501346196423519e-05,0.03073223567370213,0.0016438988148767802,0.2561551302894587,0.00980136044034863,0.031192465856327883,0.0012321865133342153,0.08815053228850689,0.0015263904916165737,0.011668500702150844,0.0001349658909077873,0.7041018482771877,0.008319410905285264,3
