architecture_layers,condition,seed,measured_layer,scope,component,head,ood_accuracy_mean,identity_error,transport_error,holonomy_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,activation_variance,edge_improvement_over_identity,supported
4,higher_diversity,0,1,cls,key,all,0.6625000000000001,0.0,0.0,0.0,1.9435614808612642,1.0962803430206194,0.0,0.0,0.0,0.0,0.0,6.7516696542303425e-12,nan,False
4,higher_diversity,0,1,token_mean,key,all,0.6625000000000001,0.15039443862434443,0.04228159972860366,0.015605940381609862,1.2672418261889453,0.015740180194742017,0.000792193842988292,0.014813746135173873,0.18123735169570027,0.018890392293070896,0.06593687604454697,0.018526082181117752,0.718861946523071,True
4,higher_diversity,0,1,cls,value,all,0.6625000000000001,0.0,0.0,0.0,1.9366685800330539,1.1108711935565307,0.0,0.0,0.0,0.0,0.0,6.267428298252119e-12,nan,False
4,higher_diversity,0,1,token_mean,value,all,0.6625000000000001,0.15516210356261625,0.04226957558374057,0.016575377643675178,1.2726577342444372,0.016628523214403976,0.0007320254609856585,0.01584335204891183,0.18734401712783652,0.021271409913717673,0.0664084905208382,0.016588082706386394,0.727577967730487,True
4,higher_diversity,0,2,cls,query,all,0.6625000000000001,1.1691748481878415,0.885033620632085,0.767193512947202,1.7178010716533665,0.8571557057959819,0.03496726204387166,0.732226244427941,0.2997812828226634,0.40127816353562507,1.0981417152270414,0.1647972742264921,0.24302714687727,True
4,higher_diversity,0,2,token_mean,query,all,0.6625000000000001,0.22173918614228227,0.09770083513902646,0.07425292463086511,1.344951074590173,0.07474692713243881,0.003173625038471073,0.07107930054718797,0.26780191383747864,0.04123514561450023,0.12546216293532053,0.027859324504705994,0.5593885012442714,True
4,higher_diversity,0,2,cls,key,all,0.6625000000000001,1.1427023276057247,0.8985549735818258,0.7795140539654551,1.7035769767806022,0.8582364951657048,0.03432128696956418,0.7451927634802732,0.3035959108333817,0.4006066053069269,1.092472178183603,0.135846156288277,0.2136578775816924,True
4,higher_diversity,0,2,token_mean,key,all,0.6625000000000001,0.20287119845377186,0.09689085825088867,0.07182129364804901,1.339133038076364,0.0715687149623462,0.003232938888355751,0.06858835335482251,0.26539244368300724,0.040586879410922476,0.12479083087170602,0.0282078298994086,0.5224021004984247,True
4,higher_diversity,0,2,cls,value,all,0.6625000000000001,1.1190226049179293,0.9306362174082415,0.7923558683825177,1.7108132302215002,0.8501157878277706,0.03822327557612549,0.7541325959292325,0.29684979243008297,0.3983584887627558,1.137078059143288,0.13876180283047937,0.16834904557044605,True
4,higher_diversity,0,2,token_mean,value,all,0.6625000000000001,0.19875927992940656,0.0954267164420743,0.06875874795042484,1.3406590210802118,0.06861218454913977,0.0030248718950050798,0.06573387506333264,0.25791846578878225,0.03899356676041737,0.12206612697429194,0.028307396071878346,0.5198879947846105,True
4,higher_diversity,0,3,cls,query,all,0.6625000000000001,1.1443527268724618,0.8218037971069833,0.7561455879481827,1.7298917295954181,0.8165066741317184,0.06797977748580954,0.6881657947193492,0.29931342874753697,0.3874497465549362,0.9901085721826592,0.48468636111779645,0.2818614594881169,True
4,higher_diversity,0,3,token_mean,query,all,0.6625000000000001,0.3071453120577273,0.1378689810538882,0.0936443276768832,1.4214201240201307,0.0935137880553249,0.00544543518811803,0.08819888972423294,0.23036893925888666,0.04533176278396467,0.1601538060201486,0.05284006165509874,0.5511278354527644,True
4,higher_diversity,0,3,cls,key,all,0.6625000000000001,1.1657209646263453,0.9226826860101884,0.880811224220383,1.7306196991907539,0.9247230666273761,0.07017499902708964,0.8106362169439142,0.3108286390276193,0.46392411759757296,1.0715881352347993,0.3425673815337094,0.20848752488041533,True
4,higher_diversity,0,3,token_mean,key,all,0.6625000000000001,0.26256229726585256,0.14016954730870887,0.09918153535318447,1.412975945062762,0.09886294333751437,0.004934068271805617,0.09424746747721326,0.24082716208784402,0.05233488352548691,0.16860857562752452,0.04681654613126408,0.4661474675978219,True
4,higher_diversity,0,3,cls,value,all,0.6625000000000001,1.1629403653761647,0.9503483418792339,0.8922763692685188,1.7277840544338652,0.9211557567977103,0.06411007901822979,0.8281662870537151,0.30750698019952083,0.4764389835552489,1.1508593312108106,0.3153703741051934,0.18280561052515,True
4,higher_diversity,0,3,token_mean,value,all,0.6625000000000001,0.24429817746857713,0.13565187758559583,0.08963634906070217,1.4158710921942335,0.08884517408168341,0.0049988690615546975,0.08463748070326718,0.23086976481032107,0.04603139042047244,0.15772527262902436,0.04680489139123396,0.44472824565773084,True
