architecture_layers,condition,seed,ood_accuracy_mean,baseline,family,diagram_count,vertices_per_diagram,edges_per_diagram,loops_per_diagram,path_pairs_per_diagram,mean_loop_length,semantic_accuracy,prediction_consistency,identity_error,transport_error,holonomy_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,edge_cka,activation_variance
2,higher_diversity,2,0.652,fitted,associativity_pentagon,96,5,8,1,1,5.0,0.66875,0.6145833333333334,0.4393296286760666,0.49479250821577575,0.4432651185453534,0.02557879127562046,0.4176863729953766,1.6022302491113327,0.42141614507321135,0.29931248984047953,0.10100958175375431,0.9814570967135621,0.6296263337135315,0.8209103941917419
2,higher_diversity,2,0.652,fitted,commutativity_cube,96,8,24,6,5,4.0,0.5221354166666666,0.3541666666666667,0.592670928715858,0.6501025857808821,0.38895345598911485,0.012049430049955845,0.3769040107727051,1.544341707562483,0.36950276530958914,0.2538569702765169,0.11603950711904894,1.4198572346587672,0.4902031123638153,0.7799415588378906
2,higher_diversity,2,0.652,fitted,commutativity_involution,96,2,2,1,0,2.0,0.6770833333333334,0.625,1.1477949668306062,1.2070681423276999,0.6444911682899963,0.02907208539545536,0.6154190897941589,1.7577670643948762,0.6167721939266332,0.4380571944351348,nan,nan,0.2374630570411682,0.8517241477966309
2,higher_diversity,2,0.652,fitted,demorgan_and_square,96,4,4,1,0,4.0,0.53125,0.3541666666666667,1.5025530151234212,0.9021803316720352,0.5924671211319505,0.022228222340345383,0.5702389478683472,1.8384099505371265,1.1360066791940138,0.15426138304437734,nan,nan,0.052781932055950165,0.3185522258281708
2,higher_diversity,2,0.652,fitted,demorgan_or_square,96,4,4,1,0,4.0,0.4973958333333333,0.2708333333333333,1.398622581920839,1.1004673418468418,0.48651170131777005,0.14778625965118408,0.33872541785240173,1.8969144561372804,0.6101594035273464,0.11787178493030515,nan,nan,0.08815564215183258,0.47295883297920227
2,higher_diversity,2,0.652,fitted,distributivity_diamond,96,4,5,2,1,3.0,0.6458333333333334,0.3854166666666667,1.2952494673904662,1.012518927060212,0.5570236825766589,0.020232627168297768,0.5367910861968994,1.7716289380022314,0.674769578745969,0.24283174634403126,0.7216794099083516,1.0054789238974984,0.1856539398431778,0.8480485081672668
2,higher_diversity,2,0.652,fitted,double_negation,96,2,2,1,0,2.0,0.5989583333333334,0.4270833333333333,2.355940628096147,1.2370781086590972,0.970951106162373,0.013244549743831158,0.9577065706253052,1.6052460447661911,1.1356815751624831,0.41086109841406526,nan,nan,0.168288454413414,0.6821152567863464
2,higher_diversity,2,0.652,fitted,exact1_hexagon,96,6,6,1,0,6.0,0.5538194444444444,0.4166666666666667,0.8376652410251464,0.9345551699413632,0.8969364905501539,0.05821792781352997,0.8387185335159302,1.9156023092267216,0.8450083142509669,0.2082535993032535,nan,nan,0.3912559747695923,0.15232808887958527
2,higher_diversity,2,0.652,fitted,ite_expansion,96,2,2,1,0,2.0,0.5364583333333334,0.59375,1.9091307929269807,1.3225176228138469,0.8395933624212115,0.01609605737030506,0.8234972357749939,1.756617876893529,1.0306420500458364,0.37430786216766326,nan,nan,0.23270326852798462,0.6837377548217773
2,higher_diversity,2,0.652,fitted,majority_duality,96,2,2,1,0,2.0,0.5677083333333334,0.4479166666666667,1.9921400542230738,1.1406149369749712,0.37325941404612534,0.024144073948264122,0.3491153419017792,1.7082801618018582,0.7097624449431853,0.1616777978964825,nan,nan,0.3655529320240021,0.4280621111392975
2,higher_diversity,2,0.652,fitted,nary_and_hexagon,96,6,6,1,0,6.0,0.5763888888888888,0.6666666666666666,0.9500734590093254,1.0693012800547277,1.1498356669828385,0.11557529121637344,1.0342603921890259,1.8984974341599214,1.0403960941364805,0.2456652919275406,nan,nan,0.30491340160369873,0.48914629220962524
2,higher_diversity,2,0.652,shuffled,associativity_pentagon,96,5,8,1,1,5.0,0.66875,0.6145833333333334,0.4393296286760666,2.2216537640170007,2.1098544308644125,0.14073355495929718,1.969120979309082,2.017318956550184,1.9791831432806999,0.19997345760199944,2.290312764588014,2.0412933277829373,0.6296263337135315,0.8209103941917419
2,higher_diversity,2,0.652,shuffled,commutativity_cube,96,8,24,6,5,4.0,0.5221354166666666,0.3541666666666667,0.592670928715858,1.7700833365522095,1.9048666735136477,0.0123622827231884,1.8925044536590576,1.973983429012498,1.8738604072402314,0.2761450562627033,2.0529802659261787,2.006655586663954,0.4902031123638153,0.7799415588378906
2,higher_diversity,2,0.652,shuffled,commutativity_involution,96,2,2,1,0,2.0,0.6770833333333334,0.625,1.1477949668306062,2.354961062190392,1.7739481809621849,0.020803064107894897,1.7531452178955078,1.959921495453487,1.7557116319665274,0.4284704563006782,nan,nan,0.2374630570411682,0.8517241477966309
2,higher_diversity,2,0.652,shuffled,demorgan_and_square,96,4,4,1,0,4.0,0.53125,0.3541666666666667,1.5025530151234212,1.326592078567595,0.9593351860066763,0.040729012340307236,0.9186061024665833,1.997919065376436,1.4786674670616076,0.17081747689398438,nan,nan,0.052781932055950165,0.3185522258281708
