architecture_layers,condition,seed,train_size,step,train_loss,validation_loss,validation_accuracy
6,higher_diversity,1,12000,1500,0.04693682581558824,1.520708526611328,0.726
6,higher_diversity,1,12000,1750,0.030828655906021595,1.5152225646972657,0.736
6,higher_diversity,1,12000,2000,0.026565997026860712,1.4732093200683594,0.735
6,higher_diversity,2,12000,1,0.7436724305152893,0.7741065673828125,0.5
6,higher_diversity,2,12000,250,0.5437352299690247,0.49938111114501954,0.717
6,higher_diversity,2,12000,500,0.41461054134368897,0.48858075714111326,0.732
6,higher_diversity,2,12000,750,0.30032514691352846,0.6134503021240234,0.748
6,higher_diversity,2,12000,1000,0.17016332322359085,1.0048548278808593,0.735
6,higher_diversity,2,12000,1250,0.07877075099200011,1.2881660461425781,0.751
6,higher_diversity,2,12000,1500,0.045706015143543485,1.306601837158203,0.748
6,higher_diversity,2,12000,1750,0.02718961864663288,1.4789425354003907,0.734
6,higher_diversity,2,12000,2000,0.022777184781618415,1.5446799926757813,0.729
