architecture_layers,condition,seed,train_size,rewrite,count,identity_error,transport_error,cka,activation_variance
4,low_diversity,0,512,commute_and_in_context,96,0.7240360975265503,0.7478522658348083,0.41800153255462646,0.7080985903739929
4,low_diversity,0,512,commute_or_in_context,96,0.41459470987319946,0.44259586930274963,0.6547070145606995,0.7764504551887512
4,low_diversity,0,512,commute_xor_in_context,96,0.5805248618125916,0.5967997908592224,0.5284379124641418,0.716292679309845
4,low_diversity,0,512,distribute_and_over_or_left,96,2.125241994857788,1.077306866645813,0.08789421617984772,0.9591057896614075
4,low_diversity,0,512,distribute_and_over_or_right,96,2.0076022148132324,0.9819535613059998,0.1328974962234497,0.9522647857666016
4,low_diversity,0,512,parallel_commute_and,96,1.3298827409744263,1.3456350564956665,0.10921839624643326,0.6709602475166321
4,low_diversity,0,512,distribute_and_over_or_left_inverse,96,2.166059970855713,0.9190837144851685,0.11588406562805176,0.9751998782157898
4,low_diversity,0,512,ite_expand,96,1.8754291534423828,1.3569618463516235,0.061963386833667755,0.9426682591438293
4,low_diversity,0,512,ite_reduce,96,2.071744680404663,1.1463807821273804,0.09944891184568405,0.917250394821167
4,low_diversity,0,512,majority_duality,96,2.072502613067627,1.1062177419662476,0.08537489920854568,0.8963156342506409
4,low_diversity,0,512,majority_duality_inverse,96,1.9937747716903687,1.085879921913147,0.12633952498435974,0.9136913418769836
4,low_diversity,0,512,swap_exact1_12,96,1.3818587064743042,1.411946415901184,0.10073430091142654,0.9028571248054504
4,low_diversity,0,512,swap_exact1_23,96,0.8890746831893921,0.927513062953949,0.3104109466075897,0.9200809001922607
4,low_diversity,1,512,commute_and,96,1.2923774719238281,1.3056076765060425,0.13442975282669067,0.8814146518707275
4,low_diversity,1,512,double_negation_expand,96,2.674778699874878,1.1793855428695679,0.17907850444316864,0.9586856365203857
4,low_diversity,1,512,double_negation_reduce,96,2.1838278770446777,1.6196956634521484,0.02310800738632679,0.9729821085929871
4,low_diversity,1,512,commute_and_under_not,96,1.319653868675232,1.3918955326080322,0.16849446296691895,0.2023969143629074
4,low_diversity,1,512,demorgan_and,96,3.476020097732544,0.3848404586315155,0.042057015001773834,0.9705207943916321
4,low_diversity,1,512,commute_or,96,1.584763526916504,1.6488603353500366,0.06112119182944298,0.1016317680478096
4,low_diversity,1,512,demorgan_and_inverse,96,3.5656816959381104,0.31532302498817444,0.028563234955072403,0.9702095985412598
4,low_diversity,1,512,commute_or_under_not,96,1.3368715047836304,1.358473539352417,0.1486089527606964,0.28100356459617615
4,low_diversity,1,512,demorgan_or,96,2.524688720703125,0.8516340255737305,0.07599305361509323,0.9251127243041992
4,low_diversity,1,512,demorgan_or_inverse,96,2.638394594192505,0.9711990356445312,0.03019791468977928,0.9004361033439636
4,low_diversity,1,512,associate_and_right,96,0.5402362942695618,0.565258800983429,0.543773353099823,0.8684291839599609
4,low_diversity,1,512,associate_and_left,96,0.4543534815311432,0.4924319386482239,0.6122141480445862,0.9077237248420715
4,low_diversity,1,512,swap_and3_12,96,1.1118555068969727,1.2943358421325684,0.17515279352664948,0.14342957735061646
4,low_diversity,1,512,swap_and3_23,96,1.5052613019943237,1.558810830116272,0.04307563975453377,0.237565815448761
4,low_diversity,1,512,commute_and_in_context,96,0.9454385638237,0.9887052178382874,0.26231497526168823,0.825883686542511
4,low_diversity,1,512,commute_or_in_context,96,0.5152599811553955,0.56123286485672,0.5702411532402039,0.7912229895591736
4,low_diversity,1,512,commute_xor_in_context,96,0.5522148609161377,0.5843381881713867,0.5316557884216309,0.7343491911888123
4,low_diversity,1,512,distribute_and_over_or_left,96,1.5484063625335693,0.9681569933891296,0.22632130980491638,0.924734890460968
4,low_diversity,1,512,distribute_and_over_or_right,96,1.748895287513733,1.116064190864563,0.11237797886133194,0.9466263651847839
4,low_diversity,1,512,parallel_commute_and,96,1.2200583219528198,1.2749029397964478,0.16910842061042786,0.5906108021736145
4,low_diversity,1,512,distribute_and_over_or_left_inverse,96,1.735060453414917,1.1631395816802979,0.1073380559682846,0.8894206881523132
4,low_diversity,1,512,ite_expand,96,1.6173732280731201,1.351686954498291,0.09213617444038391,0.8997179865837097
4,low_diversity,1,512,ite_reduce,96,1.6415668725967407,1.490984559059143,0.11620289087295532,0.8604841232299805
4,low_diversity,1,512,majority_duality,96,2.2488505840301514,1.0858705043792725,0.05642273277044296,0.8062602877616882
4,low_diversity,1,512,majority_duality_inverse,96,2.54073429107666,1.1509493589401245,0.022970089688897133,0.8600413799285889
4,low_diversity,1,512,swap_exact1_12,96,1.0470362901687622,1.1063591241836548,0.25171518325805664,0.8773024082183838
4,low_diversity,1,512,swap_exact1_23,96,1.034429907798767,1.0759059190750122,0.2240726351737976,0.8766465187072754
4,low_diversity,2,512,commute_and,96,1.477933406829834,1.4797942638397217,0.07275453209877014,0.7881943583488464
4,low_diversity,2,512,double_negation_expand,96,2.501128673553467,1.5921441316604614,0.06792911142110825,0.9637318253517151
4,low_diversity,2,512,double_negation_reduce,96,2.274610996246338,1.6041052341461182,0.017765577882528305,0.9913709759712219
4,low_diversity,2,512,commute_and_under_not,96,1.933472752571106,1.939028024673462,0.01254415325820446,0.5824952721595764
4,low_diversity,2,512,demorgan_and,96,3.2614200115203857,0.5860562324523926,0.04188252240419388,0.976019561290741
4,low_diversity,2,512,commute_or,96,1.4326884746551514,1.7911609411239624,0.1376832127571106,0.1623849868774414
4,low_diversity,2,512,demorgan_and_inverse,96,3.1343536376953125,0.661685049533844,0.022654324769973755,0.9774846434593201
