architecture_layers,condition,seed,train_size,split,depth,root_operator,count,accuracy,balanced_accuracy
4,higher_diversity,0,12000,id,3,OR3,66,0.8484848484848485,0.7719298245614035
4,higher_diversity,0,12000,id,3,OR4,76,0.9605263157894737,0.75
4,higher_diversity,0,12000,id,3,XOR,72,0.7777777777777778,0.7739938080495357
4,higher_diversity,0,12000,id,3,XOR3,69,0.5942028985507246,0.5741379310344827
4,higher_diversity,0,12000,id,3,XOR4,77,0.5714285714285714,0.5708502024291497
4,higher_diversity,0,12000,ood,5,AND,84,0.6904761904761905,0.6108339272986457
4,higher_diversity,0,12000,ood,5,AND3,88,0.7386363636363636,0.5472245236122618
4,higher_diversity,0,12000,ood,5,AND4,72,0.7777777777777778,0.6857142857142857
4,higher_diversity,0,12000,ood,5,ATLEAST2_4,63,0.7142857142857143,0.643569844789357
4,higher_diversity,0,12000,ood,5,EXACT1_3,62,0.5483870967741935,0.5523504273504274
4,higher_diversity,0,12000,ood,5,ITE3,79,0.6075949367088608,0.5738095238095238
4,higher_diversity,0,12000,ood,5,MAJ3,62,0.5,0.5162162162162163
4,higher_diversity,0,12000,ood,5,NOT,63,0.6190476190476191,0.6194556451612903
4,higher_diversity,0,12000,ood,5,OR,71,0.7323943661971831,0.583502024291498
4,higher_diversity,0,12000,ood,5,OR3,60,0.8666666666666667,0.8173076923076923
4,higher_diversity,0,12000,ood,5,OR4,76,0.9210526315789473,0.49295774647887325
4,higher_diversity,0,12000,ood,5,XOR,76,0.5526315789473685,0.5569444444444445
4,higher_diversity,0,12000,ood,5,XOR3,62,0.5161290322580645,0.5206349206349207
4,higher_diversity,0,12000,ood,5,XOR4,82,0.6219512195121951,0.6216457960644007
4,higher_diversity,1,12000,id,3,AND,78,0.8076923076923077,0.6805555555555556
4,higher_diversity,1,12000,id,3,AND3,74,0.7972972972972973,0.6011904761904762
4,higher_diversity,1,12000,id,3,AND4,69,0.927536231884058,0.6439393939393939
4,higher_diversity,1,12000,id,3,ATLEAST2_4,81,0.7160493827160493,0.6535087719298245
4,higher_diversity,1,12000,id,3,EXACT1_3,69,0.6086956521739131,0.5809090909090908
4,higher_diversity,1,12000,id,3,ITE3,82,0.6219512195121951,0.6190476190476191
4,higher_diversity,1,12000,id,3,MAJ3,74,0.7162162162162162,0.718939393939394
4,higher_diversity,1,12000,id,3,NOT,52,0.7115384615384616,0.7115384615384616
4,higher_diversity,1,12000,id,3,OR,61,0.9016393442622951,0.901219512195122
4,higher_diversity,1,12000,id,3,OR3,66,0.9090909090909091,0.8070175438596491
4,higher_diversity,1,12000,id,3,OR4,76,0.9342105263157895,0.6595238095238095
4,higher_diversity,1,12000,id,3,XOR,72,0.7916666666666666,0.7886996904024768
4,higher_diversity,1,12000,id,3,XOR3,69,0.4927536231884058,0.4961206896551724
4,higher_diversity,1,12000,id,3,XOR4,77,0.5714285714285714,0.5711875843454791
4,higher_diversity,1,12000,ood,5,AND,84,0.6666666666666666,0.5673556664290805
4,higher_diversity,1,12000,ood,5,AND3,88,0.7613636363636364,0.47183098591549294
4,higher_diversity,1,12000,ood,5,AND4,72,0.9027777777777778,0.5637362637362637
4,higher_diversity,1,12000,ood,5,ATLEAST2_4,63,0.6031746031746031,0.5476718403547671
4,higher_diversity,1,12000,ood,5,EXACT1_3,62,0.5161290322580645,0.47649572649572647
4,higher_diversity,1,12000,ood,5,ITE3,79,0.46835443037974683,0.48741496598639455
4,higher_diversity,1,12000,ood,5,MAJ3,62,0.5967741935483871,0.5778378378378378
4,higher_diversity,1,12000,ood,5,NOT,63,0.6984126984126984,0.6990927419354839
4,higher_diversity,1,12000,ood,5,OR,71,0.7746478873239436,0.6791497975708501
4,higher_diversity,1,12000,ood,5,OR3,60,0.8333333333333334,0.6923076923076923
4,higher_diversity,1,12000,ood,5,OR4,76,0.9078947368421053,0.4859154929577465
4,higher_diversity,1,12000,ood,5,XOR,76,0.39473684210526316,0.39305555555555555
4,higher_diversity,1,12000,ood,5,XOR3,62,0.46774193548387094,0.45238095238095233
4,higher_diversity,1,12000,ood,5,XOR4,82,0.45121951219512196,0.46124031007751937
4,higher_diversity,2,12000,id,3,AND,78,0.8076923076923077,0.7388888888888889
